Name	Category	Id
Feminism Sucks	MRA	UCcmnLu5cGUGeLy744WS-fsg
50 Shades	MRA	UC7sjYgQOIDFRMCzt666_dwA
Barbarsossa Rants	MRA	UCa3meRxRwQrXg__x--Goxrg
Mark Postgate	MRA	UCGE8W5_PN-bZ71nrVp9Z3FA
Felfop Returns	MRA	UCIl-NGN7bGS4UuMc1vJTyoQ
bane666au	MRA	UCXWynYLv9kfV_r7FpNTaJaA
JerryTheother	MRA	UClfqxOGWFlOMQWpIhbhzL2w
astrokidnj	MRA	UCuUbALqd-qaVTdAYbVyG2Aw
Katy Khaos	MRA	UCkFWCK3PrJXjo4Uv5_8l1cA
Diapers Off	MRA	UCzzkMOf2bEImOmu8pcXIFHA
Diana Davison	MRA	UCSJt8MQ0bqoAbbFIyu8qOXA
RB_95	MRA	UCVRQqUgDRBevsDGOeE1DL3A
Badger Live Streams	MRA	UC_QOZpg4t2hf0BCnWhWM27w
Canadian Association for Equality	MRA	UCcOtHMt1S9Nl4Pycp-FWd8Q
HoneyBadgerRadio	MRA	UCvlBoX4hBrM2yUglBQcYVHg
Whitney Dahlin	MRA	UC595wqznMGuY2mi6DKx-qnQ
Mike Buchanan	MRA	UCFmGu_0gJFKQWrbBp5N3oqw
Messages for Men	MRA	UCKhX1c3ow6BrzdzP3ydpeZQ
Cassiejaye	MRA	UC0msVj8OXmsvWMz8WofDqWg
drwarrenfarrell	MRA	UCW0XocdjHAzMJmTQIboO8qw
1menaregood1	MRA	UCcdQla_9PbQb4-FKFxJN2ag
An Ear for Men	MRA	UCAlVRoYjDbgLx7j6O2N8-2g
deanesmay	MRA	UCXNNG0ej_6rU9SxCZ4dyq6w
Red Pill Awareness	MRA	UCKkxuj6Opa-JV3_s6r2CPEQ
Attila Vinczer	MRA	UCBsCsmpR2GN2O8q2J5noFMA
StudioBrule	MRA	UC89MuToZunfClmUYoS6-Sow
FatherlessAmerica	MRA	UC7PfGhJXlJiDs4jvGGGgqsQ
CoalitionForMen	MRA	UCAgb6xVzZ_Xo6EuE3ne86Nw
carnellspeaks	MRA	UCHaKL3tBNNUBp39ZIxox0bA
Rollo Tomassi	MRA	UCbVCEJ93942EpPqN2AzEyBg
KristalDGarcia	MRA	UC8eLDzfH6YfZRDbDuMsNWiA
TheJoshSpeaks1	PUA	UCwX9Rh2T0LiDPqJNvLGpGlg
